"NAME","GEOID","variable","value"
"Autauga County, Alabama","01001","POP",55601
"Baldwin County, Alabama","01003","POP",218022
"Barbour County, Alabama","01005","POP",24881
"Bibb County, Alabama","01007","POP",22400
"Blount County, Alabama","01009","POP",57840
"Bullock County, Alabama","01011","POP",10138
"Butler County, Alabama","01013","POP",19680
"Calhoun County, Alabama","01015","POP",114277
"Chambers County, Alabama","01017","POP",33615
"Cherokee County, Alabama","01019","POP",26032
"Chilton County, Alabama","01021","POP",44153
"Choctaw County, Alabama","01023","POP",12841
"Clarke County, Alabama","01025","POP",23920
"Clay County, Alabama","01027","POP",13275
"Cleburne County, Alabama","01029","POP",14987
"Coffee County, Alabama","01031","POP",51909
"Colbert County, Alabama","01033","POP",54762
"Conecuh County, Alabama","01035","POP",12277
"Coosa County, Alabama","01037","POP",10715
"Covington County, Alabama","01039","POP",36986
"Crenshaw County, Alabama","01041","POP",13824
"Cullman County, Alabama","01043","POP",83442
"Dale County, Alabama","01045","POP",48956
"Dallas County, Alabama","01047","POP",38310
"DeKalb County, Alabama","01049","POP",71385
"Elmore County, Alabama","01051","POP",81887
"Escambia County, Alabama","01053","POP",36748
"Etowah County, Alabama","01055","POP",102501
"Fayette County, Alabama","01057","POP",16433
"Franklin County, Alabama","01059","POP",31363
"Geneva County, Alabama","01061","POP",26314
"Greene County, Alabama","01063","POP",8233
"Hale County, Alabama","01065","POP",14726
"Henry County, Alabama","01067","POP",17209
"Houston County, Alabama","01069","POP",104722
"Jackson County, Alabama","01071","POP",51736
"Jefferson County, Alabama","01073","POP",659300
"Lamar County, Alabama","01075","POP",13844
"Lauderdale County, Alabama","01077","POP",92387
"Lawrence County, Alabama","01079","POP",32957
"Lee County, Alabama","01081","POP",163941
"Limestone County, Alabama","01083","POP",96174
"Lowndes County, Alabama","01085","POP",9974
"Macon County, Alabama","01087","POP",18439
"Madison County, Alabama","01089","POP",366519
"Marengo County, Alabama","01091","POP",19066
"Marion County, Alabama","01093","POP",29763
"Marshall County, Alabama","01095","POP",96109
"Mobile County, Alabama","01097","POP",413757
"Monroe County, Alabama","01099","POP",21067
"Montgomery County, Alabama","01101","POP",225763
"Morgan County, Alabama","01103","POP",119089
"Perry County, Alabama","01105","POP",9140
"Pickens County, Alabama","01107","POP",19938
"Pike County, Alabama","01109","POP",33338
"Randolph County, Alabama","01111","POP",22725
"Russell County, Alabama","01113","POP",57781
"St. Clair County, Alabama","01115","POP",88690
"Shelby County, Alabama","01117","POP",215707
"Sumter County, Alabama","01119","POP",12691
"Talladega County, Alabama","01121","POP",79828
"Tallapoosa County, Alabama","01123","POP",40497
"Tuscaloosa County, Alabama","01125","POP",208911
"Walker County, Alabama","01127","POP",63711
"Washington County, Alabama","01129","POP",16378
"Wilcox County, Alabama","01131","POP",10627
"Winston County, Alabama","01133","POP",23660
"Aleutians East Borough, Alaska","02013","POP",3515
"Aleutians West Census Area, Alaska","02016","POP",5723
"Anchorage Municipality, Alaska","02020","POP",291538
"Bethel Census Area, Alaska","02050","POP",18216
"Bristol Bay Borough, Alaska","02060","POP",877
"Denali Borough, Alaska","02068","POP",2059
"Dillingham Census Area, Alaska","02070","POP",5000
"Fairbanks North Star Borough, Alaska","02090","POP",98971
"Haines Borough, Alaska","02100","POP",2474
"Hoonah-Angoon Census Area, Alaska","02105","POP",2151
"Juneau City and Borough, Alaska","02110","POP",32113
"Kenai Peninsula Borough, Alaska","02122","POP",58533
"Ketchikan Gateway Borough, Alaska","02130","POP",13918
"Kodiak Island Borough, Alaska","02150","POP",13345
"Kusilvak Census Area, Alaska","02158","POP",8303
"Lake and Peninsula Borough, Alaska","02164","POP",1587
"Matanuska-Susitna Borough, Alaska","02170","POP",107610
"Nome Census Area, Alaska","02180","POP",10008
"North Slope Borough, Alaska","02185","POP",9872
"Northwest Arctic Borough, Alaska","02188","POP",7671
"Petersburg Borough, Alaska","02195","POP",3221
"Prince of Wales-Hyder Census Area, Alaska","02198","POP",6422
"Sitka City and Borough, Alaska","02220","POP",8647
"Skagway Municipality, Alaska","02230","POP",1148
